VERNOU SUR BRENNE	2006-02-02 00:00:00	1
SAVIGNE L'EVEQUE	2006-02-02 00:00:00	1
CHINON	2006-02-02 00:00:00	1
CHINON	2006-02-02 00:00:00	1
BRETONCELLES	2006-02-02 00:00:00	1
VERRIERES	2006-02-02 00:00:00	1
FOULOGNES	2006-02-02 00:00:00	2
FOULOGNES	2006-02-02 00:00:00	1
LANDIGOU	2006-02-02 00:00:00	1
PLENEUF VAL ANDRE	2006-02-02 00:00:00	1
PLENEUF VAL ANDRE	2006-02-02 00:00:00	3
PLENEUF VAL ANDRE	2006-02-02 00:00:00	1
LA CHAPELLE JANSON	2006-02-02 00:00:00	1
ARGENTAN	2006-02-02 00:00:00	6
CHAMPAGNE	2006-02-02 00:00:00	8
CHAMPAGNE	2006-02-02 00:00:00	2
CHAMPAGNE	2006-02-02 00:00:00	1
CHOLET	2006-02-02 00:00:00	1
SANNERVILLE	2006-02-02 00:00:00	1
MIEUXCE	2006-02-02 00:00:00	1
MIEUXCE	2006-02-02 00:00:00	2
MIEUXCE	2006-02-02 00:00:00	2
PLESTIN LES GREVES	2006-02-02 00:00:00	1
LA FERRIERE BOCHARD	2006-02-02 00:00:00	1
VERNON	2006-02-02 00:00:00	1
VERNON	2006-02-02 00:00:00	1
VERNON	2006-02-02 00:00:00	2
VERNON	2006-02-02 00:00:00	1
VERNON	2006-02-02 00:00:00	1
PLEMY	2006-02-02 00:00:00	1
PLEMY	2006-02-02 00:00:00	1
MAMERS	2006-02-02 00:00:00	1
CONTIGNE	2006-02-02 00:00:00	1
MANNEVILLE SUR RISLE	2006-02-02 00:00:00	1
CHERBOURG OCTEVILLE	2006-02-02 00:00:00	1
LE MANS	2006-02-02 00:00:00	1
LE MANS	2006-02-02 00:00:00	1
LE MANS	2006-02-02 00:00:00	1
ERNEE	2006-02-03 00:00:00	1
CALIGNY	2006-02-03 00:00:00	1
CHAMPGENETEUX	2006-02-03 00:00:00	1
MOULINES	2006-02-03 00:00:00	1
BEUZEVILLE LA GRENIER	2006-02-03 00:00:00	1
BREVILLE LES MONTS	2006-02-03 00:00:00	1
VIRE NORMANDIE	2006-02-03 00:00:00	1
HESLOUP	2006-02-03 00:00:00	1
HESLOUP	2006-02-03 00:00:00	1
ECHAUFFOUR	2006-02-03 00:00:00	1
VILLAINES LA JUHEL	2006-02-03 00:00:00	2
VILLAINES LA JUHEL	2006-02-03 00:00:00	1
STE MERE EGLISE	2006-02-03 00:00:00	1
MONTELIER	2006-02-03 00:00:00	4
MONTELIER	2006-02-03 00:00:00	1
COURGAINS	2006-02-03 00:00:00	1
COURGAINS	2006-02-03 00:00:00	1
COURGAINS	2006-02-03 00:00:00	1
COURGAINS	2006-02-03 00:00:00	1
LA CHAPELLE MONTLIGEON	2006-02-03 00:00:00	2
COURCITE	2006-02-03 00:00:00	2
SAINT MARS SUR COLMONT	2006-02-03 00:00:00	3
NUILLE SUR VICOIN	2006-01-31 00:00:00	1
LONRAI	2006-01-31 00:00:00	2
MEZANGERS	2006-02-06 00:00:00	1
MEZANGERS	2006-02-06 00:00:00	3
MEZANGERS	2006-02-06 00:00:00	2
MARRAY	2006-02-06 00:00:00	1
MARRAY	2006-02-06 00:00:00	1
LA FONTAINE SAINT MARTIN	2006-02-06 00:00:00	1
LA FONTAINE SAINT MARTIN	2006-02-06 00:00:00	1
MARRAY	2006-02-06 00:00:00	2
CERISY BELLE ETOILE	2006-02-06 00:00:00	1
CERISY BELLE ETOILE	2006-02-06 00:00:00	1
SAINT PIERRE LE VIGER	2006-02-06 00:00:00	1
TORCE VIVIERS EN CHARNIE	2006-02-06 00:00:00	5
AVERTON	2006-02-06 00:00:00	2
FOUGERES	2006-02-06 00:00:00	3
SAINT PHILBERT SUR ORNE	2006-01-31 00:00:00	2
BEAUFAY	2006-02-07 00:00:00	2
MAMERS	2006-02-07 00:00:00	1
